Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Main-Donau GmbH & Co. KG - Asbach – Bäumenheim,https://www.agriaffaires.co.uk/pros/list/682286-0/1/claas-main-donau-gmbh-co-kg-asbach-ndash-baumenheim.html,Dealer/ Distributor,"Germany - Asbach-Bäumenheim
                                                    (BY)",Claas,3 ads,Bürgermeister- Müller- Str. 5,86663,Asbach-Bäumenheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birner Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/1877751-0/1/birner-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Amberg
                                                    (BY)",,3 ads,Gasfabrikstraße 13,92224,Amberg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLMES GmbH,https://www.agriaffaires.co.uk/pros/list/685175-0/1/willmes-gmbh.html,Manufacturer,"Germany - Lorsch
                                                    (HE)",,3 ads,Bensheimer Straße 101,64653,Lorsch - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Fehlberger GmbH,https://www.agriaffaires.co.uk/pros/list/1882911-0/1/johann-fehlberger-gmbh.html,Vehicle/equipment Wholesale,"Germany - Erding
                                                    (BY)","John Deere,                                                                             Kuhn,                                                                             Amazone,                                                                             Weidemann,                                                                             Joskin,                                                                             Ropa,                                                                             Fliegl,                                                                             Zunhammer,                                                                             Reisch,                                                                             Alö",3 ads,Hörlkofener Straße 18,85435,Erding - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolff,https://www.agriaffaires.co.uk/pros/list/148779-0/1/wolff.html,Vehicle/equipment Wholesale,"Germany - Meuspath
                                                    (RP)",,3 ads,Krebsbacherhof 1,53520,Meuspath - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.A.S. Keltereiprodukte GmbH,https://www.agriaffaires.co.uk/pros/list/520149-0/1/m-a-s-keltereiprodukte-gmbh.html,Manufacturer,"Germany - Bensheim
                                                    (HE)",,2 ads,Lahnstrasse 19-21,64625,Bensheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehling Motorgeräte GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/239483-0/1/vehling-motorgerate-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Meerbeck
                                                    (NI)
                                                                        
                            (One other address)",,2 ads,Volksdorf 35,31715,Meerbeck - Germany,Meerbeck (NI), Meerbeck (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamps SEPPI M. Deutschland GmbH,https://www.agriaffaires.co.uk/pros/list/602489-0/1/kamps-seppi-m-deutschland-gmbh.html,Importer,"Germany - Michelstadt
                                                    (HE)",,2 ads,Unterer Hammer 3,64720,Michelstadt - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Lichtenfels,https://www.agriaffaires.co.uk/pros/list/682556-0/1/claas-nordostbayern-gmbh-co-kg-lichtenfels.html,Dealer/ Distributor,"Germany - Lichtenfels
                                                    (BY)
                                                                        
                            (2 other addresses)",Claas,1 ads,Bamberger Str. 46,96215,Lichtenfels - Germany,Lichtenfels (BY), Lichtenfels (BY), Lautertal (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa Bayreuth Melktechnik,https://www.agriaffaires.co.uk/pros/list/739521-0/1/baywa-bayreuth-melktechnik.html,Dealer/ Distributor,"Germany - Bayreuth
                                                    (BY)
                                                                        
                            (One other address)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",1 ads,Gottlieb-Keim-Str. 49,95448,Bayreuth - Germany,Bayreuth (BY), Bayreuth (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Schönau Melktechnik,https://www.agriaffaires.co.uk/pros/list/739486-0/1/baywa-ag-schonau-melktechnik.html,Dealer/ Distributor,"Germany - Griesstätt
                                                    (BY)
                                                                        
                            (2 other addresses)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",1 ads,Ahornweg 19,83104,Schönau - Germany,Schönau (BY), Schönau (BY), Griesstätt (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Erlingen,https://www.agriaffaires.co.uk/pros/list/683027-0/1/baywa-ag-erlingen.html,Dealer/ Distributor,"Germany - Erlingen
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",1 ads,Markterstr. 2,86405,Erlingen - Germany,Erlingen (BY), Erlingen (BY), Erlingen (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Pfatter,https://www.agriaffaires.co.uk/pros/list/684101-0/1/baywa-ag-pfatter.html,Dealer/ Distributor,"Germany - Pfatter
                                                    (BY)
                                                                        
                            (One other address)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",1 ads,Straubinger Straße 14,93102,Pfatter - Germany,Pfatter (BY), Pfatter (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralf Stadach Land und Baumaschinen,https://www.agriaffaires.co.uk/pros/list/639776-0/1/ralf-stadach-land-und-baumaschinen.html,Vehicle/equipment Wholesale,"Germany - Ochtendung
                                                    (RP)","Merlo,                                                                             Foton Lovol",1 ads,Dümmelsweg 10,56299,Ochtendung - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landtechnik,https://www.agriaffaires.co.uk/pros/list/342853-0/1/landtechnik.html,Dealer/ Distributor,"Germany - Aichen
                                                    (BY)",,,Im Grund 9,86479,Aichen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRO-STAR,https://www.agriaffaires.co.uk/pros/list/447838-0/1/agro-star.html,Vehicle/equipment Wholesale,"Germany - Billigheim-Ingenheim
                                                    (RP)","Claas,                                                                             Deutz-Fahr,                                                                             New Holland,                                                                             John Deere,                                                                             Laverda,                                                                             Case,                                                                             Grégoire,                                                                             Braud,                                                                             Ero,                                                                             Alma",,Kirchstr. 12,76831,Billigheim-Ingenheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baertschi Agrartecnic Deutschland GmbH,https://www.agriaffaires.co.uk/pros/list/1883968-0/1/baertschi-agrartecnic-deutschland-gmbh.html,Manufacturer,"Germany - Dresden
                                                    (SN)","Fobro,                                                                             BF Tecnic,                                                                             Baertschi",,Marta Fraenkel Strasse 1,1097,Dresden - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAISON SOPHIE PRO,https://www.agriaffaires.co.uk/pros/list/362101-0/1/saison-sophie-pro.html,Vehicle/equipment Wholesale,"Germany - BERLIN
                                                    (BE)",,,strasse 2,1254,BERLIN - Germany,BERLIN (BE), Aartselaar (BE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Tuningen,https://www.agriaffaires.co.uk/pros/list/682588-0/1/claas-tuningen.html,Dealer/ Distributor,"Germany - Tuningen
                                                    (BW)",Claas,,Neue Wiesen 3,78609,Tuningen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Schwaben,https://www.agriaffaires.co.uk/pros/list/682590-0/1/claas-schwaben.html,Dealer/ Distributor,"Germany - Dasing
                                                    (BY)",Claas,,Aichacherstr. 18,86453,Dasing - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Allgäu Zweigbetrieb der Claas Württemberg,https://www.agriaffaires.co.uk/pros/list/682593-0/1/claas-allgau-zweigbetrieb-der-claas-wurttemberg.html,Dealer/ Distributor,"Germany - Westerheim
                                                    (BY)",Claas,,Egelsbergweg,87784,Westerheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stütz GmbH,https://www.agriaffaires.co.uk/pros/list/393503-0/1/stutz-gmbh.html,Dealer/ Distributor,"Germany - Sulzheim
                                                    (BY)",,,Am Unkenbach 28,97529,Sulzheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Baden,https://www.agriaffaires.co.uk/pros/list/682909-0/1/claas-baden.html,Dealer/ Distributor,"Germany - Herbolzheim
                                                    (BW)",Claas,,Niederwaldstr. 1,79336,Herbolzheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agro Haider GmbH,https://www.agriaffaires.co.uk/pros/list/333746-0/1/agro-haider-gmbh.html,Vehicle/equipment Wholesale,"Germany - Rimbach
                                                    (BY)","Claas,                                                                             John Deere",,Wenger Str. 2,84164,Rimbach - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZONEN-WERKE H. DREYER SE & Co. KG,https://www.agriaffaires.co.uk/pros/list/1709611-0/1/amazonen-werke-h-dreyer-se-co-kg.html,Manufacturer,"Germany - Hasbergen
                                                    (NI)
                                                                        
                            (7 other addresses)",Amazone,,Am Amazonenwerk 9-13,49205,Hasbergen-Gatse - Germany,Hasbergen-Gatse (NI), Kaunas (LT), Auckley (Doncaster) (), Tecklenburg-Leeden (NI), Hude-Altmoorhausen (NI), Hude (NI), Hasbergen (NI), Hasbergen (NI), Leipzig (NI), Bohmte (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landtechnik Kohlstock OHG,https://www.agriaffaires.co.uk/pros/list/1864419-0/1/landtechnik-kohlstock-ohg.html,Dealer/ Distributor,"Germany - Tann
                                                    (HE)",,,Aura 15,36142,Tann - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Graml,https://www.agriaffaires.co.uk/pros/list/213547-0/1/martin-graml.html,Dealer/ Distributor,"Germany - Kößlarn
                                                    (BY)",John Deere,,Oberer Markt 25,94149,Kößlarn - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERO GmbH,https://www.agriaffaires.co.uk/pros/list/105667-0/1/ero-gmbh.html,Manufacturer,"Germany - Simmern
                                                    (RP)",,,Am ERO-Werk,55469,Simmern - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank Landtechnik OHG,https://www.agriaffaires.co.uk/pros/list/170769-0/1/blank-landtechnik-ohg.html,Dealer/ Distributor,"Germany - Bornheim
                                                    (NW)",,,Lindenstraße 4,53332,Bornheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Württemberg - Herrenberg,https://www.agriaffaires.co.uk/pros/list/682564-0/1/claas-wurttemberg-herrenberg.html,Dealer/ Distributor,"Germany - Herrenberg
                                                    (BW)",Claas,,Heerstr. 2,71083,Herrenberg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penzkofer-Landtechnik GbR,https://www.agriaffaires.co.uk/pros/list/1877790-0/1/penzkofer-landtechnik-gbr.html,Vehicle/equipment Wholesale,"Germany - Essenbach
                                                    (BY)",,,"Hauptstrasse 22
                                                                    Unterwattenbach",84051,Essenbach - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Lage Landen Leasing GmbH,https://www.agriaffaires.co.uk/pros/list/2005255-0/1/de-lage-landen-leasing-gmbh.html,Vehicle/equipment Wholesale,"Germany - Düsseldorf
                                                    (NW)",,,Theo-Champion-Str. 1,40549,Düsseldorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Württemberg - Neuenstein,https://www.agriaffaires.co.uk/pros/list/682567-0/1/claas-wurttemberg-neuenstein.html,Dealer/ Distributor,"Germany - Neuenstein
                                                    (BW)",Claas,,Robert Bosch Str. 11,74632,Neuenstein - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Moosthenning,https://www.agriaffaires.co.uk/pros/list/682231-0/1/claas-sudostbayern-gmbh-moosthenning.html,Dealer/ Distributor,"Germany - Moosthenning
                                                    (BY)",,,Wenger Str. 1,84164,Moosthenning - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEN-AG,https://www.agriaffaires.co.uk/pros/list/1326235-0/1/hen-ag.html,Manufacturer,"Germany - Steinheim an der Murr
                                                    (BW)","Unimog,                                                                             Bema,                                                                             Bonetti,                                                                             HEN",,Obere Seewiesen 48,71711,Steinheim an der Murr - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Württemberg - Osterburken,https://www.agriaffaires.co.uk/pros/list/682572-0/1/claas-wurttemberg-osterburken.html,Dealer/ Distributor,"Germany - Osterburken
                                                    (BW)",Claas,,Industriepark 3,74706,Osterburken - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H&B Landmaschinen,https://www.agriaffaires.co.uk/pros/list/444538-0/1/hb-landmaschinen.html,Vehicle/equipment Wholesale,"Germany - Alsfeld
                                                    (HE)",,,Grünbergerstraße 90a,36304,Alsfeld - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Lorenz Kfz.- & Landmaschinen-Werkstatt,https://www.agriaffaires.co.uk/pros/list/653106-0/1/peter-lorenz-kfz-landmaschinen-werkstatt.html,Vehicle/equipment Wholesale,"Germany - Schmölln
                                                    (TH)",,,"Gimmeler Weg 5
                                                                    OT Altkirchen",4626,Schmölln - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claas Württemberg GmbH - Oberessendorf,https://www.agriaffaires.co.uk/pros/list/682575-0/1/claas-wurttemberg-gmbh-oberessendorf.html,Dealer/ Distributor,"Germany - Oberessendorf
                                                    (BW)",Claas,,Petrusstraße 4,88436,Oberessendorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
